athlete_id,name,region,affiliate,gender,age,height,candj,snatch,deadlift,backsq,train,experience,howlong
EALZ18618762094771,Judith Marsden-Marshall,North East,CrossFit Florian,Male,34.0-40.0,70.0-72.0,175.0-209.60000000000002,155.11525945980983,375.0-419.0,240.0-295.0,I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
WAUN01949932265498,Mrs Catherine Burgess,South East,TNL CrossFit Tampa,Male,34.0-40.0,69.0-70.0,209.60000000000002-240.0,164.95881093361356,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,1-2 years|
ZTBV80284406504745,Jeffrey Reynolds,Mid Atlantic,CrossFit Fairfax,Male,14.0-28.0,70.0-72.0,240.0-275.0,200.05196188716667,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,4+ years|
RRDN56590979773904,Mrs Alice Browne,South West,CrossFit Pandora's Box,Male,14.0-28.0,69.0-70.0,240.0-275.0,224.989815860764,305.0-375.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
CYTP95975482893354,Josephine Gibson,North West,VC CrossFit,Male,28.0-31.0,69.0-70.0,175.0-209.60000000000002,124.94033061085194,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
GYRE20056179394302,Roger Bennett-Ingram,South East,CrossFit Oneonta,Male,34.0-40.0,72.0-8388607.0,240.0-275.0,169.98420233893918,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|,I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,2-4 years|
WSLK50317214148153,Trevor Roberts-Harris,South Central,CrossFit Bridge City,Male,34.0-40.0,66.0-69.0,240.0-275.0,215.10520452054854,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,2-4 years|
IVGF78289799359498,Barry Thompson,South West,CrossFit Ken Caryl,Male,34.0-40.0,69.0-70.0,175.0-209.60000000000002,155.08188632063812,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
KLKH96212672456864,Graeme Elliott-Jones,Europe,Train Blue CrossFit,Male,28.0-31.0,69.0-70.0,209.60000000000002-240.0,142.83863581260252,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
KGBR43617189197495,Shannon Walker,Central East,CrossFit Murfreesboro,Male,28.0-31.0,66.0-69.0,209.60000000000002-240.0,149.75997455878178,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,6-12 months|
WOOO47840038461851,Elliot Johnson,Mid Atlantic,CrossFit Carrboro,Male,34.0-40.0,70.0-72.0,175.0-209.60000000000002,156.0557795633914,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
TMPM20348631907643,Mrs Wendy Fletcher,Mid Atlantic,CrossFit Invoke,Male,28.0-31.0,66.0-69.0,240.0-275.0,145.00926719616302,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
CVXP17823147288788,Georgia Jackson,South East,CrossFit Dojo,Male,14.0-28.0,72.0-8388607.0,240.0-275.0,174.9537868235042,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,6-12 months|
BELE69143941631948,Mohammed Hicks,Mid Atlantic,CrossFit Wake Forest,Male,34.0-40.0,66.0-69.0,209.60000000000002-240.0,154.96261418064174,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,2-4 years|
TULU66733426977817,Mrs Jodie Hill,North East,CrossFit 212,Male,34.0-40.0,69.0-70.0,175.0-209.60000000000002,135.09052704306814,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
HOGJ15198437639677,Shaun Reynolds,Mid Atlantic,Southern Pines CrossFit,Male,31.0-34.0,70.0-72.0,175.0-209.60000000000002,155.0637817469476,305.0-375.0,240.0-295.0,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|",I began CrossFit by trying it alone (without a coach)|I have attended one or more specialty courses|,6-12 months|
IBFL45125192588470,Beth Shaw,North West,SnoRidge CrossFit,Male,31.0-34.0,66.0-69.0,175.0-209.60000000000002,145.17723708226268,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|2-4 years|
RMTT74540786809766,Maurice Hughes,North West,CrossFit Yelm,Male,40.0-56.0,72.0-8388607.0,175.0-209.60000000000002,140.84257231036318,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
RMKV66956656886228,Lynn Nelson,Southern California,District 7 CrossFit,Male,40.0-56.0,72.0-8388607.0,240.0-275.0,190.00744345340738,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,1-2 years|
ZJMO36081727043680,Dr Gemma Pugh,Australia,CrossFit Brisbane,Male,31.0-34.0,72.0-8388607.0,240.0-275.0,176.0201417685451,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,1-2 years|
XLGE31614774827611,Christine Lee,Northern California,CrossFit San Ramon (SR),Male,40.0-56.0,72.0-8388607.0,175.0-209.60000000000002,124.98253671643472,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
TVGY71110608447200,Shaun Whittaker,South East,Pee Dee CrossFit,Male,34.0-40.0,72.0-8388607.0,-45.0-175.0,65.19650234955135,0.0-305.0,0.0-240.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,6-12 months|
NQVN47594337307472,Stephanie Clarke,South West,Ute CrossFit Sugarhouse,Male,14.0-28.0,72.0-8388607.0,209.60000000000002-240.0,175.02338966219793,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
EGGT31057634236424,Mrs Teresa Quinn,Mid Atlantic,CrossFit Invoke,Male,34.0-40.0,66.0-69.0,209.60000000000002-240.0,164.9813437008158,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
FBJO61981534045363,Jasmine Whitehead,South East,CrossFit Bradenton,Male,14.0-28.0,70.0-72.0,175.0-209.60000000000002,145.03514392702064,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,1-2 years|
AOQQ57452326541117,Dr Dylan Smith,South Central,CrossFit Richardson,Male,28.0-31.0,66.0-69.0,175.0-209.60000000000002,154.9045361023285,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,1-2 years|
QSWG71134414214538,Yvonne Robson,South Central,CrossFit Deer Park,Male,14.0-28.0,70.0-72.0,209.60000000000002-240.0,175.00591574495667,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,1-2 years|
IGTM48578717149935,Janet Riley-Smith,North Central,Hardware CrossFit,Male,31.0-34.0,1.0-66.0,175.0-209.60000000000002,164.92333163274103,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,2-4 years|
KHFM62891836113929,Kate Jones,Mid Atlantic,CrossFit South River,Male,31.0-34.0,66.0-69.0,175.0-209.60000000000002,150.0690699295332,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
DAOS35429010198222,Terence Marshall,North East,Cloud 9 CrossFit,Male,31.0-34.0,70.0-72.0,209.60000000000002-240.0,165.11184457834193,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
DKUD78657554436847,Dr Harry Williams,Canada West,CrossFit New West,Male,40.0-56.0,1.0-66.0,209.60000000000002-240.0,174.99949164483266,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
WZJG33160027454796,Charlie Ellis-Fleming,Mid Atlantic,CrossFit Main Line,Male,31.0-34.0,1.0-66.0,-45.0-175.0,134.9193123710605,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
VDRP27375323539764,Miss Barbara Carroll,North Central,CrossFit 51,Male,34.0-40.0,1.0-66.0,209.60000000000002-240.0,145.06274853835117,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
OMGG73702716797848,Dr Michelle Clarke,North Central,Enid CrossFit,Male,34.0-40.0,70.0-72.0,275.0-1936.0,225.0616642695547,419.0-465.0,340.0-385.0,"I workout mostly at home, work, or a traditional gym|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,4+ years|
SQVH11346221702975,Dr Jennifer Adams,North East,CrossFit Wingman,Male,31.0-34.0,70.0-72.0,240.0-275.0,185.00423022783497,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,2-4 years|
FBYL10215739698400,Henry Webb,South Central,CrossFit Sprag,Male,14.0-28.0,70.0-72.0,275.0-1936.0,214.88508224511554,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|,1-2 years|
ZVBY53722604203011,Mrs Maureen Johnson,North East,CrossFit Barbending,Male,34.0-40.0,70.0-72.0,240.0-275.0,210.08813974446858,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,2-4 years|
YNBS31077060148991,Leah Kennedy,Europe,CrossFit Fana,Male,28.0-31.0,66.0-69.0,240.0-275.0,198.15961570884522,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,2-4 years|
IPMY52426821002756,Ms Sandra King,Southern California,Offshore CrossFit,Male,28.0-31.0,69.0-70.0,209.60000000000002-240.0,179.96050485431834,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,2-4 years|
BPRJ05069223451704,Grace White,Mid Atlantic,CrossFit Cove,Male,28.0-31.0,70.0-72.0,240.0-275.0,190.05066120946822,375.0-419.0,340.0-385.0,"I workout mostly at home, work, or a traditional gym|I write my own programming|I record my workouts|",I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
QLFF42023905287279,Lynda Williams,North East,SaltCity CrossFit,Male,28.0-31.0,1.0-66.0,175.0-209.60000000000002,144.85904390912623,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|,1-2 years|
KVFX34972103164393,Keith Carter,North West,CrossFit North Sound,Male,31.0-34.0,69.0-70.0,209.60000000000002-240.0,150.00555383150262,419.0-465.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
NXZI93728885861476,Mr Michael Nelson,North Central,CrossFit Autonomy,Male,14.0-28.0,72.0-8388607.0,209.60000000000002-240.0,191.02800944680817,305.0-375.0,240.0-295.0,"I workout mostly at home, work, or a traditional gym|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,1-2 years|
WHLO00016836351004,Allan Stephens,South East,CrossFit En Fuego,Male,31.0-34.0,70.0-72.0,240.0-275.0,174.93036679385582,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,2-4 years|
OTDS42487957708552,Dr Hayley Birch,South West,Wasatch CrossFit,Male,28.0-31.0,1.0-66.0,175.0-209.60000000000002,135.17922853768457,375.0-419.0,295.0-340.0,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I record my workouts|",I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,1-2 years|
PZPS00076710327622,Abbie O'Brien,South West,CrossFit Roots,Male,28.0-31.0,1.0-66.0,175.0-209.60000000000002,124.98945463646965,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
ORSG08825732570350,Dawn Pearce,North West,CrossFit Marysville,Male,40.0-56.0,66.0-69.0,175.0-209.60000000000002,144.89924813203424,0.0-305.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
VSSC36357569218592,Cheryl Cooke,South Central,CrossFit Richardson,Male,31.0-34.0,69.0-70.0,175.0-209.60000000000002,165.11250534715222,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,1-2 years|
XVZO47044963039670,Mrs Jodie Fuller,Central East,Four Barrel CrossFit,Male,31.0-34.0,69.0-70.0,209.60000000000002-240.0,164.93555610856484,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,1-2 years|
VPJD55855290354453,Sharon Nolan,North Central,CrossFit O'Fallon,Male,40.0-56.0,66.0-69.0,175.0-209.60000000000002,139.84733513948282,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,1-2 years|
ZSIG75033205888041,Dr Lawrence Storey,Europe,CrossFit 6 Towns,Male,14.0-28.0,1.0-66.0,175.0-209.60000000000002,153.817672364833,419.0-465.0,295.0-340.0,I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I train other people|,1-2 years|
CELO05237977370474,Debra Bennett,Central East,CrossFit Flight,Male,14.0-28.0,72.0-8388607.0,209.60000000000002-240.0,185.02512903733876,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
RGYU99178611806458,Dr Duncan Shah,South East,CrossFit Dimensions,Male,14.0-28.0,70.0-72.0,209.60000000000002-240.0,175.05141225276205,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|,6-12 months|
DVWV67136612547609,Michael Stone-Morris,Australia,Bring It On CrossFit,Male,40.0-56.0,72.0-8388607.0,209.60000000000002-240.0,154.13155017738976,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|I have attended one or more specialty courses|,1-2 years|
TOER27043719429475,Ms Deborah Dixon,Asia,CrossFit Gof Metgot,Male,14.0-28.0,66.0-69.0,275.0-1936.0,239.94378029394883,375.0-419.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,1-2 years|
PDQR73257769082625,Robin Wong-Dean,North East,Ocean State CrossFit,Male,31.0-34.0,69.0-70.0,175.0-209.60000000000002,154.9173452555838,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|,1-2 years|
IWST54270684859572,Michelle Gibson-Edwards,North Central,CrossFit 312,Male,34.0-40.0,66.0-69.0,209.60000000000002-240.0,144.92142780622007,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
HGXB37199594010773,Miss Valerie Wood,North Central,Titletown CrossFit,Male,34.0-40.0,72.0-8388607.0,240.0-275.0,230.82413919815684,375.0-419.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
ZMBR84799225407067,Ruth Harvey,Southern California,CrossFit Forest,Male,34.0-40.0,69.0-70.0,175.0-209.60000000000002,166.94941528317545,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
ZPFV33443376865837,Dr Liam Wood,Southern California,Oceanside CrossFit,Male,31.0-34.0,66.0-69.0,209.60000000000002-240.0,165.0257102126858,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,1-2 years|
INII43348528043496,Kelly Ryan,North West,CrossFit Intensify,Male,40.0-56.0,70.0-72.0,175.0-209.60000000000002,145.17305155641327,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
LBBI86173156480309,Kyle Davies,South East,Be CrossFit,Male,34.0-40.0,69.0-70.0,175.0-209.60000000000002,155.01965282107224,305.0-375.0,240.0-295.0,"I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I record my workouts|",I began CrossFit by trying it alone (without a coach)|,1-2 years|
LDYX86072397118639,Anne Mahmood,South Central,1960 CrossFit,Male,28.0-31.0,66.0-69.0,209.60000000000002-240.0,174.9486040446367,305.0-375.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,2-4 years|
XSDR32679273714434,Benjamin Taylor,North West,CrossFit Intensify,Male,14.0-28.0,72.0-8388607.0,240.0-275.0,214.9415263096102,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
TDIP78252279631998,Jake Simpson,Australia,CrossFit Geo,Male,31.0-34.0,70.0-72.0,175.0-209.60000000000002,154.01960405587693,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
IIBW78746885404760,Gavin Browne,Northern California,Diablo CrossFit,Male,40.0-56.0,69.0-70.0,275.0-1936.0,244.94193203518188,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I write my own programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
INVI25974647396393,Clive Miller,North East,CrossFit Synergistics,Male,34.0-40.0,72.0-8388607.0,275.0-1936.0,225.03967044677856,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
OUCD39264461347168,Dylan Wilkinson-Macdonald,South East,Lady Lake CrossFit,Male,34.0-40.0,70.0-72.0,209.60000000000002-240.0,165.0043766739812,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,2-4 years|
YWMR85651999197713,Jean Wheeler-Bolton,Southern California,CrossFit META,Male,31.0-34.0,70.0-72.0,240.0-275.0,185.0826171886513,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
LPIB47442728649608,Marian Holmes,South West,Backcountry CrossFit,Male,34.0-40.0,69.0-70.0,240.0-275.0,199.99406497908706,375.0-419.0,340.0-385.0,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|",I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,4+ years|
DTYC06929088849248,Dr Heather Lawrence,Canada West,CrossFit 187,Male,34.0-40.0,66.0-69.0,240.0-275.0,204.95181844260188,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,2-4 years|
GZRI93594014819158,Ms Harriet Brown,Mid Atlantic,Mount Vernon CrossFit,Male,34.0-40.0,66.0-69.0,209.60000000000002-240.0,160.01739205364808,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
FNXO38983219720331,Sandra Brown,South Central,CrossFit Adino,Male,14.0-28.0,72.0-8388607.0,275.0-1936.0,224.98925554985726,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,4+ years|
SDNC09700426870546,Terence Whitehouse,South Central,CrossFit Big D,Male,14.0-28.0,72.0-8388607.0,240.0-275.0,195.12291224922237,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|,I began CrossFit by trying it alone (without a coach)|,4+ years|
VTEP63637348503427,Dr Gerald Hudson,South East,CrossFit Manatee,Male,28.0-31.0,70.0-72.0,209.60000000000002-240.0,205.1270527017841,465.0-1936.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
UTQK66809541822333,Leigh Perkins-Brown,North East,CrossFit 110,Male,14.0-28.0,72.0-8388607.0,240.0-275.0,205.11822480976258,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
ADHL76462026451528,Craig Johnson,South West,Tekton CrossFit,Male,14.0-28.0,66.0-69.0,175.0-209.60000000000002,160.04066253259433,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,6-12 months|1-2 years|2-4 years|
ETPQ30376383434599,Dr Peter Doyle,Northern California,CrossFit ParaBellum,Male,28.0-31.0,69.0-70.0,175.0-209.60000000000002,130.18659608123903,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|,1-2 years|
RCOU07549364270104,Jodie Brown,North East,CrossFit Westchester,Male,40.0-56.0,70.0-72.0,209.60000000000002-240.0,165.06129408032842,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,4+ years|
UDQM27979224852333,Edward Richards,Europe,CrossFit Keelhaul,Male,31.0-34.0,70.0-72.0,240.0-275.0,160.9935800079672,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,1-2 years|
GYMM71841558338696,Jordan Bell,South East,CrossFit Country,Male,28.0-31.0,69.0-70.0,209.60000000000002-240.0,155.05993990805086,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,2-4 years|
YQAH28710412176780,Mandy Burton,Central East,CrossFit Conjugate,Male,28.0-31.0,70.0-72.0,275.0-1936.0,214.98504575113512,375.0-419.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,2-4 years|
